cluster,rank,ngram,lift,cluster_mass
-1,1,action@ExtendServiceVC#payment_extend_detail/payment_extend_detail_back view@PaymentSettingsController,2.045,276.5307
-1,2,action@FsListConnectedDeviceVC#btn_back view@FsHomeVC,2.045,148.0167
-1,3,view@ChangeWifiInforVC view@ManageWiFiVC,2.045,112.7603
-1,4,action@FsListConnectedDeviceVC#btn_back view@ServiceManageVC,2.045,104.6858
-1,5,action@SettingDeviceManagerVC#home/home_service_management/internet_service_tab/device_control/click_setting_device_control/click_on_device_detection view@PopupVC,2.045,80.1941
-1,6,action@PopupVC#home/home_service_management/change_contract,2.045,78.4919
-1,7,action@PopupVC#home/home_service_management/change_contract view@ChooseContractVC,2.045,78.4034
-1,8,action@HomeVC#popup action@HomeVC#Home/Nav_payement,2.045,76.8525
0,1,action@<missing>#internet_fprotect_screen/management_device/management_device_screen/devices_tab_blocking <eos>,5870.051,12.8212
0,2,action@<missing>#internet_fprotect_screen/management_device/management_device_screen/devices_tab_blocking action@<missing>#management_device/manage_reload_btn,3033.693,4.5088
0,3,action@<missing>#management_device/manage_reload_btn action@<missing>#internet_fprotect_screen/management_device/management_device_screen/devices_tab_blocking,2777.842,5.3747
0,4,action@<missing>#internet_fprotect_screen/management_device/management_device_screen/devices_tab_all <eos>,2512.107,22.3201
0,5,action@<missing>#internet_fprotect_screen/management_device/management_device_screen/devices_tab_blocking action@<missing>#internet_fprotect_screen/management_device/management_device_screen/devices_searching,2377.073,1.288
0,6,action@<missing>#internet_fprotect_screen/management_device/management_device_screen/devices_tab_connected action@<missing>#internet_fprotect_screen/management_device/management_device_screen/devices_searching,2319.572,2.4687
0,7,action@<missing>#internet_fprotect_screen/management_device/management_device_screen/devices_tab_connected <eos>,2310.812,23.4264
0,8,action@<missing>#internet_fprotect_screen/management_device/management_device_screen/devices_tab_all action@<missing>#internet_fprotect_screen/management_device/management_device_screen/devices_tab_blocking,2038.759,16.6476
1,1,action@<missing>#internet_fprotect_screen/management_device/management_device_screen/devices_tab_connected <eos>,3112.814,35.7269
1,2,action@<missing>#internet_fprotect_screen/management_device/management_device_screen/devices_tab_all action@<missing>#management_device/manage_reload_btn,3056.695,30.2417
1,3,action@<missing>#internet_fprotect_screen/management_device/management_device_screen/devices_tab_all <eos>,2920.997,29.3826
1,4,action@<missing>#internet_fprotect_screen/management_device/management_device_screen/devices_tab_connected action@<missing>#management_device/manage_reload_btn,2793.443,37.0561
1,5,action@<missing>#internet_fprotect_screen/management_device/management_device_screen/devices_searching action@<missing>#management_device/manage_reload_btn,2610.401,1.453
1,6,action@<missing>#management_device/manage_reload_btn action@<missing>#internet_fprotect_screen/management_device/management_device_screen/devices_tab_connected,2037.935,50.015
